# N9040B Phase Noise Log Plot export
# timestamp=20260129_191311
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=10.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=True
# tracking_span_Hz=None
# auto_tune=True
# avg_enable=True
# avg_count=10
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# sa_enabled=True
# sa_center_freq_Hz=55000000.0
# sa_span_Hz=1000000.0
# sa_rbw_Hz=100.0
# sa_trace_name=TRACE1
# sa_avg_enable=True
# sa_avg_count=10
# sa_avg_method=manual_power_average_mW
# scalar_carrier_power_dBm=-2.25
# scalar_carrier_frequency_Hz=54999979.6
# scalar_rms_phase_noise_deg=12.87906482
# scalar_rms_phase_noise_rad=0.2247820856
# scalar_residual_FM_Hz=1023013.743
# scalar_spot_noise_start_dBc_per_Hz=-34.5
# scalar_spot_noise_stop_dBc_per_Hz=-119.07
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
10.0,-34.5,-35.13,-34.5,719002.2572994637,847.9400080780855
10.2723,-34.82,-34.55,-34.82,667928.9293533498,817.2691902631286
10.552,-35.04,-34.17,-35.04,634936.4423691693,796.8289919230909
10.8393,-35.13,-35.48,-35.13,621913.8869859838,788.6151704006104
11.1344,-35.2,-35.81,-35.2,611970.1719476609,782.2852241654963
11.4376,-35.33,-34.96,-35.33,593923.1518664508,770.6640979482895
11.749,-35.47,-35.49,-35.47,575082.6366146824,758.3420314176726
12.0689,-35.6,-35.85,-35.6,558123.4311741218,747.0765898983328
12.3975,-35.73,-35.54,-35.73,541664.3532659056,735.9785005459777
12.735,-35.85,-35.34,-35.85,526902.4962259395,725.8804972073154
13.0818,-36.01,-35.82,-36.01,507843.9188564447,712.6316852739883
13.438,-36.2,-38.08,-36.2,486105.1886501992,697.2124415486281
13.8038,-36.37,-35.21,-36.37,467444.71837515413,683.6992894358997
14.1797,-36.53,-34.88,-36.53,450536.7868994891,671.220371338273
14.5658,-36.75,-36.36,-36.75,428282.4297361005,654.4329069783246
14.9624,-36.87,-37.52,-36.87,416610.5449195167,645.4537511855646
15.3697,-36.99,-37.35,-36.99,405256.7513784484,636.5977940414563
15.7882,-37.14,-37.16,-37.14,391498.6413055742,625.6985226972924
16.2181,-37.34,-36.8,-37.34,373878.3003073969,611.4558858228424
16.6597,-37.55,-37.05,-37.55,356229.8107699547,596.8499064002228
17.1133,-37.79,-36.93,-37.79,337077.8853615444,580.5840898281182
17.5792,-38.03,-38.31,-38.03,318955.621827703,564.7615619247675
18.0579,-38.21,-38.93,-38.21,306006.22543640825,553.1782944371627
18.5495,-38.26,-38.89,-38.26,302503.4015871944,550.0030923433017
19.0546,-38.5,-38.36,-38.5,286239.96046852134,535.0139815635862
19.5734,-38.77,-39.09,-38.77,268986.3637107242,518.6389531366924
20.1064,-38.98,-38.25,-38.98,256289.1759640546,506.2501120632514
20.6538,-39.15,-38.53,-39.15,246450.8188761281,496.4381319722812
21.2162,-39.37,-38.47,-39.37,234277.33027789308,484.0220349094585
21.7938,-39.53,-40.12,-39.53,225803.2909603377,475.18763763416416
22.3872,-39.73,-40.75,-39.73,215640.4692313412,464.3710469348204
22.9968,-40.0,-41.04,-40.0,202642.3760988893,450.15816786868294
23.6229,-40.21,-40.78,-40.21,193076.87907917294,439.4051422994193
24.2661,-40.4,-39.89,-40.4,184812.04442689495,429.89771391215254
24.9268,-40.54,-39.23,-40.54,178949.41066729312,423.0241253962865
