# N9040B Phase Noise Log Plot export
# timestamp=20260311_145411
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=1.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=False
# tracking_span_Hz=None
# auto_tune=False
# avg_enable=False
# avg_count=1
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# scalar_carrier_power_dBm=-0.96
# scalar_carrier_frequency_Hz=55000000.0
# scalar_rms_phase_noise_deg=197.6650987
# scalar_rms_phase_noise_rad=3.449906788
# scalar_residual_FM_Hz=744385.8515
# scalar_spot_noise_start_dBc_per_Hz=-0.2
# scalar_spot_noise_stop_dBc_per_Hz=-121.48
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
1.0,-0.2,0.52,-0.2,967609791.9330722,31106.426858979998
1.0312,-0.9,-2.11,-0.9,823569500.0556178,28697.90062104923
1.0633,-0.96,-0.63,-0.96,812269702.900899,28500.345662831864
1.0965,-0.7,1.53,-0.7,862383134.8220986,29366.36059885696
1.1307,-0.61,1.41,-0.61,880440992.4289998,29672.22594327901
1.1659,-0.62,1.6,-0.62,878416034.3442458,29638.08418815639
1.2023,-0.7,-1.47,-0.7,862383134.8393492,29366.360599150674
1.2397,-0.85,-7.87,-0.85,833105985.4438024,28863.575409914178
1.2784,-0.99,-2.9,-0.99,806678077.6304057,28402.078755443337
1.3183,-1.01,-2.07,-1.01,802971728.5388639,28336.75578711974
1.3594,-0.97,-2.34,-0.97,810401534.4731681,28467.552309132025
1.4017,-1.04,2.92,-1.04,797444110.0551214,28239.05292418854
1.4454,-1.32,4.49,-1.32,747653300.242153,27343.249628421145
1.4905,-1.58,2.37,-1.58,704206865.3117214,26536.89630140875
1.537,-1.68,-2.87,-1.68,688177160.0431975,26233.130961499763
1.5849,-1.98,-2.85,-1.98,642244294.3284724,25342.53922416758
1.6343,-2.38,-4.46,-2.38,585733757.9497154,24201.937070195752
1.6853,-2.58,-1.65,-2.58,559371396.2322412,23651.03372439017
1.7378,-2.74,-4.91,-2.74,539138386.6816672,23219.353709387935
1.792,-2.67,-2.74,-2.67,547898680.7502809,23407.23564947986
1.8478,-2.74,0.79,-2.74,539138386.6991564,23219.353709764542
1.9055,-2.96,1.22,-2.96,512507534.84946084,22638.629261716815
1.9649,-3.2,-2.0,-3.2,484953674.96370375,22021.663764659195
2.0261,-3.52,-5.73,-3.52,450505663.19573355,21225.118685080033
2.0893,-3.85,-8.24,-3.85,417542084.2600304,20433.846536079065
2.1544,-4.23,-2.84,-4.23,382560613.09597886,19559.156758305784
2.2216,-4.29,-5.39,-4.29,377311684.71618825,19424.512470489142
2.2909,-4.35,-7.88,-4.35,372134774.33409894,19290.795067443407
2.3623,-4.51,-2.87,-4.51,358674296.21276224,18938.698376941386
2.4359,-4.82,-5.32,-4.82,333964461.9412842,18274.694578604704
2.5119,-4.83,-6.14,-4.83,333196365.0035889,18253.667165903647
2.5902,-4.81,-4.56,-4.81,334734329.5569675,18295.74621481637
2.671,-5.12,-7.14,-5.12,311673770.4508338,17654.28476180312
2.7542,-5.33,-7.8,-5.33,296961572.9233671,17232.57302097882
2.8401,-5.53,-4.48,-5.53,283596100.48628825,16840.311769272215
2.9286,-5.59,-3.02,-5.59,279705016.12637824,16724.38387882729
3.02,-5.47,-6.4,-5.47,287541315.25850314,16957.0432345531
3.1141,-5.79,-4.29,-5.79,267116216.69832337,16343.690424696724
3.2112,-6.08,-4.24,-6.08,249862024.76906034,15807.02453876315
3.3113,-6.3,-8.1,-6.3,237520038.51088798,15411.685128852327
3.4145,-6.59,-8.78,-6.59,222177591.7595132,14905.622823602951
3.521,-6.81,-5.09,-6.81,211203083.78243223,14532.827797178092
3.6308,-6.99,-2.24,-6.99,202628371.97206482,14234.75928746478
3.744,-7.33,-6.45,-7.33,187370085.56350854,13688.319311131974
3.8607,-7.37,-3.63,-7.37,185652266.30716637,13625.427197235556
3.9811,-7.48,-6.51,-7.48,181009035.88229203,13453.959858803357
4.1052,-7.83,-7.16,-7.83,166993764.57561675,12922.606725255426
4.2332,-8.24,-5.57,-8.24,151949842.84751776,12326.793696964258
4.3652,-8.57,-10.21,-8.57,140831646.0220314,11867.250988414773
4.5013,-8.91,-11.94,-8.91,130226765.92221144,11411.694261686625
4.6416,-9.3,-13.03,-9.3,119042011.13589938,10910.637521973653
4.7863,-9.48,-9.42,-9.48,114208980.67352314,10686.860187797121
4.9355,-9.74,-10.51,-9.74,107572250.73870285,10371.704331434774
5.0894,-10.18,-10.29,-10.18,97207607.77948725,9859.391856473057
5.2481,-10.62,-12.2,-10.62,87841603.62359011,9372.385161931306
5.4117,-11.07,-8.09,-11.07,79195454.51941095,8899.182800651472
5.5804,-11.71,-10.29,-11.71,68343978.34132993,8267.041692245777
5.7544,-12.02,-12.72,-12.02,63635616.48473758,7977.1935218306935
5.9338,-12.39,-12.35,-12.39,58438660.92534073,7644.518357970025
6.1188,-12.75,-14.1,-12.75,53789840.43242311,7334.155740944087
6.3096,-13.1,-12.12,-13.1,49624969.86384615,7044.499262818199
6.5063,-13.25,-13.07,-13.25,47940245.76675125,6923.88949700609
6.7091,-13.29,-12.29,-13.29,47500726.962177895,6892.077115222804
6.9183,-13.52,-14.79,-13.52,45050566.4817074,6711.971877303078
7.134,-13.74,-15.07,-13.74,42825284.46511823,6544.103029836727
7.3564,-13.96,-12.37,-13.96,40709920.71302558,6380.4326430913425
7.5858,-14.16,-16.9,-14.16,38877672.46942034,6235.1962655092375
7.8223,-14.55,-18.41,-14.55,35538595.212491736,5961.425602361547
8.0662,-14.9,-13.53,-14.9,32786892.514713872,5725.983977860388
8.3176,-15.09,-15.8,-15.09,31383419.141897045,5602.090604577638
8.577,-15.35,-13.81,-15.35,29559716.003723204,5436.884770134751
8.8444,-15.5,-18.14,-15.5,28556189.639027197,5343.799176524806
9.1201,-15.73,-15.51,-15.73,27083217.506207597,5204.153870343151
9.4044,-15.71,-13.95,-15.71,27208227.970065735,5216.15068513801
9.6977,-15.91,-14.64,-15.91,25983656.002167117,5097.416600805463
10.0,-16.08,-15.63,-16.08,24986202.661218233,4998.620075702716
10.3118,-16.24,-15.38,-16.24,24082427.327576824,4907.384978537635
10.6333,-16.42,-16.64,-16.42,23104695.99931,4806.73444235377
10.9648,-16.49,-17.07,-16.49,22735277.471943956,4768.152417021079
11.3066,-15.89,-18.38,-15.89,26103591.181492183,5109.167366752843
11.6591,-15.65,-17.13,-15.65,27586732.232324004,5252.3073246263875
12.0226,-15.38,-18.38,-15.38,29356228.521435607,5418.138842945575
12.3975,-15.06,-17.57,-15.06,31600958.830488224,5621.473012519781
12.784,-14.58,-17.36,-14.58,35293949.540650934,5940.871109580727
13.1826,-14.18,-12.57,-14.18,38699046.16004512,6220.855741780637
13.5936,-13.78,-16.81,-13.78,42432660.364435054,6514.035643472874
14.0174,-13.46,-18.88,-13.46,45677282.84804423,6758.497085006713
14.4544,-12.91,-18.6,-12.91,51844210.11610736,7200.292363238271
14.905,-12.48,-16.61,-12.48,57240084.01718614,7565.717680245949
15.3697,-12.12,-18.37,-12.12,62187094.046221375,7885.879408551806
15.8489,-11.66,-4.81,-11.66,69135365.56369308,8314.767920013948
16.3431,-11.38,-7.79,-11.38,73739512.84655811,8587.171411271473
16.8526,-11.23,-9.71,-11.23,76330879.204046,8736.754500616691
17.378,-10.91,-6.39,-10.91,82167536.31047763,9064.631063119868
17.9198,-10.72,-7.26,-10.72,85842086.68213752,9265.100468000199
18.4785,-10.36,-6.29,-10.36,93261042.71221492,9657.175710952706
19.0546,-10.34,-4.68,-10.34,93691516.29314043,9679.437808733544
19.6487,-10.2,-7.34,-10.2,96760982.25781015,9836.716030150008
20.2613,-10.12,-2.87,-10.12,98559903.42565067,9927.734052927217
20.893,-9.78,-5.49,-9.78,106586026.0290449,10324.05085366422
21.5443,-9.47,-8.32,-9.47,114472263.71894667,10699.17116971902
22.216,-9.06,-6.68,-9.06,125805686.58432259,11216.313413253152
22.9087,-9.19,-11.86,-9.19,122095673.08013782,11049.691085280974
23.6229,-9.13,-13.64,-9.13,123794193.42350098,11126.283900004573
24.3594,-9.1,-11.13,-9.1,124652294.14039253,11164.779180099915
